"No.","Time","Source","Destination","Protocol","Length","Info"
"72","0.122922","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"73","0.122980","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"74","0.123046","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"75","0.123090","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"76","0.123115","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"77","0.123142","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"78","0.123187","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"79","0.123252","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"80","0.123283","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"81","0.123342","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"82","0.123369","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"83","0.123404","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"84","0.123467","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"85","0.123533","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"86","0.123727","192.168.0.105","91.108.29.170","UDP","742","1703  >  58415 Len=700"
"87","0.123773","192.168.0.105","91.108.29.170","UDP","734","1703  >  58415 Len=692"
"88","0.123833","192.168.0.105","91.108.29.170","UDP","762","1703  >  58415 Len=720"
"89","0.123896","192.168.0.105","91.108.29.170","UDP","762","1703  >  58415 Len=720"
"90","0.124114","91.108.29.170","192.168.0.105","UDP","773","58415  >  1703 Len=731"
"91","0.125114","91.108.29.170","192.168.0.105","UDP","773","58415  >  1703 Len=731"
"92","0.125116","91.108.29.170","192.168.0.105","UDP","773","58415  >  1703 Len=731"
"93","0.125117","91.108.29.170","192.168.0.105","UDP","773","58415  >  1703 Len=731"
"94","0.125119","91.108.29.170","192.168.0.105","UDP","772","58415  >  1703 Len=730"
"95","0.125121","91.108.29.170","192.168.0.105","UDP","1123","58415  >  1703 Len=1081"
"96","0.125123","91.108.29.170","192.168.0.105","UDP","1123","58415  >  1703 Len=1081"
"97","0.132793","91.108.29.170","192.168.0.105","UDP","115","58415  >  1703 Len=73"
"98","0.138833","192.168.0.105","91.108.29.170","UDP","165","1703  >  58415 Len=123"
"99","0.152604","91.108.29.170","192.168.0.105","UDP","116","58415  >  1703 Len=74"
"100","0.153201","192.168.0.105","91.108.29.170","UDP","140","1703  >  58415 Len=98"
"101","0.153628","192.168.0.105","91.108.29.170","UDP","1076","1703  >  58415 Len=1034"
"102","0.153768","192.168.0.105","91.108.29.170","UDP","1076","1703  >  58415 Len=1034"
"103","0.153881","192.168.0.105","91.108.29.170","UDP","1075","1703  >  58415 Len=1033"
